canonical_concept,header_variant,target_field,variant_type,confidence_hint,source,active,notes
credentialing_\1tatus,Previous Cred Date,credentialingStatus,title_case,0.85,phase2_v3_scan,true,
credentialing_status,Provider Status,credentialingStatus,title_case,0.70,phase2_file_scan,true,
credentialing_\1tatus,Provisional Cred Date,credentialingStatus,title_case,0.85,phase2_v3_scan,true,
credentialing_status,credentialingStatus,credentialingStatus,exact,0.8,phase2_file_scan,true,
credentialing_status,credentialing_Cycle,credentialingStatus,underscore,0.70,phase2_file_scan,true,
credentialing_status,provider_status,credentialingStatus,underscore,0.70,phase2_file_scan,true,
date_of_birth,***Note to Oscar - DOB's are brought in from CAQH and only populated where CAQH has that information,dateOfBirth,exact,0.8,phase2_file_scan,true,
date_of_birth,BIRTH_DATE,dateOfBirth,underscore,0.8,phase2_file_scan,true,
date_of_birth,Birth Date,dateOfBirth,title_case,0.8,phase2_file_scan,true,
date_of_birth,Birth Date*,dateOfBirth,title_case,0.8,phase2_file_scan,true,
date_of_birth,Birthdate,dateOfBirth,title_case,0.8,phase2_file_scan,true,
date_of_birth,Correct DOB,dateOfBirth,title_case,0.8,phase2_file_scan,true,
date_of_birth,DOB,dateOfBirth,upper_exact,0.95,learning_kb_correction,true,
date_of_birth,DOB_CAQH,dateOfBirth,underscore,0.8,phase2_file_scan,true,
date_of_birth,Date Of Birth (MM/DD/YYYY),dateOfBirth,title_case,0.8,phase2_file_scan,true,
date_of_birth,Date of Birth,dateOfBirth,title_case,0.8,phase2_file_scan,true,
date_of_birth,Date_of_birth,dateOfBirth,underscore,0.8,phase2_file_scan,true,
date_\1f_\1irth,MPAC_BIR_DT,dateOfBirth,underscore,0.93,phase2_v3_scan,true,
date_of_birth,Provider DOB,dateOfBirth,title_case,0.8,phase2_file_scan,true,
date_of_birth,Provider Date of Birth,dateOfBirth,title_case,0.8,phase2_file_scan,true,
date_of_birth,Provider's Date of Birth,dateOfBirth,title_case,0.8,phase2_file_scan,true,
date_of_birth,Provider_Birthdate,dateOfBirth,underscore,0.8,phase2_file_scan,true,
date_of_birth,dateOfBirth,dateOfBirth,exact,0.8,phase2_file_scan,true,
date_of_birth,dob_Vendor_Action,dateOfBirth,underscore,0.8,phase2_file_scan,true,
date_of_birth,dob_Vendor_Value,dateOfBirth,underscore,0.8,phase2_file_scan,true,
delegation_\1tatus,Delegated,delegationStatus,title_case,0.80,v4_fix,true,
ecfmg_number,ECFMG,ecfmgNumber,upper_exact,0.95,learning_kb_correction,true,
ecfmg_number,ECFMG_#,ecfmgNumber,underscore,0.93,phase2_file_scan,true,
education_degree,Degree,educationDegree,title_case,0.8,mapping_export,true,
education_from_date,YEAR,educationFromDate,upper_exact,0.95,learning_kb_correction,true,
education_\1rom_\1ate,edu_start_date,educationFromDate,underscore,0.85,phase2_v3_scan,true,
education_\1rom_\1ate,edu_start_date2,educationFromDate,underscore,0.85,phase2_v3_scan,true,
education_\1rom_\1ate,edu_start_date3,educationFromDate,underscore,0.85,phase2_v3_scan,true,
education_school_name,MEDICAL GRADUATE PROFESSIONAL SCHOOL,educationSchoolName,upper_exact,0.95,learning_kb_correction,true,
education_school_name,Med School,educationSchoolName,title_case,0.95,learning_kb_correction,true,
education_school_name,Med School Begin Date,educationSchoolName,title_case,0.8,phase2_file_scan,true,
education_school_name,Med School Completion Year,educationSchoolName,title_case,0.8,phase2_file_scan,true,
education_school_name,Med School End Date,educationSchoolName,title_case,0.8,phase2_file_scan,true,
education_school_name,Med School Start Date,educationSchoolName,title_case,0.8,phase2_file_scan,true,
education_school_name,Medical School,educationSchoolName,title_case,0.8,phase2_file_scan,true,
education_school_name,Medical School Complete,educationSchoolName,title_case,0.8,phase2_file_scan,true,
education_school_name,Medical School Finish Date,educationSchoolName,title_case,0.8,phase2_file_scan,true,
education_school_name,Medical School Institution,educationSchoolName,title_case,0.8,phase2_file_scan,true,
education_school_name,Medical School Update,educationSchoolName,title_case,0.8,phase2_file_scan,true,
education_school_name,Medical School/Education Information,educationSchoolName,title_case,0.8,phase2_file_scan,true,
education_school_name,Medical School/Education Information Address,educationSchoolName,title_case,0.8,phase2_file_scan,true,
education_school_name,Medical/Professional School,educationSchoolName,title_case,0.8,phase2_file_scan,true,
education_school_name,Professional School,educationSchoolName,title_case,0.8,phase2_file_scan,true,
education_school_name,SCHOOL,educationSchoolName,upper_exact,0.95,learning_kb_correction,true,
education_school_name,University/Medical School Attended,educationSchoolName,title_case,0.8,phase2_file_scan,true,
education_to_date,GRADUATION DATE,educationToDate,upper_exact,0.95,learning_kb_correction,true,
education_to_date,Graduation Date mm/yyyy,educationToDate,title_case,0.95,learning_kb_correction,true,
education_to_date,Graduation date MM/DD,educationToDate,title_case,0.95,learning_kb_correction,true,
educationToDate,grad date,educationToDate,exact,0.96,real_roster_correction,true,
educationToDate,graduation date mm yyyy,educationToDate,exact,0.96,real_roster_correction_v2,true,
educationToDate,graduation year,educationToDate,exact,0.96,real_roster_correction,true,
epsdt_date,Graduation Date mm/yyyy,epsdtDate,title_case,0.8,mapping_export,true,
epsdt_state,Mailing State,epsdtState,title_case,0.8,mapping_export,true,
epsdt_status,EPSDT,epsdtStatus,upper_exact,0.95,learning_kb_correction,true,
ethnicity,Ethnicity,ethnicity,title_case,0.95,learning_kb_correction,true,
ethnicity,"Provider's Ethnicity
(Required)",ethnicity,title_case,0.85,phase2_v3_scan,true,
facility_external_id,institutionid,facilityExternalId,exact,0.70,phase2_file_scan,true,
facility_\1ame,* Facility Name,facilityName,exact,0.85,phase2_v3_scan,true,
facility_name,Facility Name,facilityName,title_case,0.70,phase2_file_scan,true,
facility_name,FacilityName,facilityName,title_case,0.70,phase2_file_scan,true,
facility_\1ame,"Residency  Training  
(Facility Name)",facilityName,title_case,0.85,phase2_v3_scan,true,
facility_npi,Individual NPI,facilityNpi,title_case,0.8,mapping_export,true,
facility_\1pi,MainContactPhoneNumber,facilityNpi,title_case,0.6,phase2_v3_scan,true,
facility_\1pi,NationalProviderID,facilityNpi,title_case,0.6,phase2_v3_scan,true,
facility_\1emittance_\1ame,MPAC_MAIL_NM,facilityRemittanceName,underscore,0.75,phase2_v3_scan,true,
facility_\1emittance_\1ame,Remit Name,facilityRemittanceName,title_case,0.85,phase2_v3_scan,true,
facility_\1ype,Additional Facility Type,facilityType,title_case,0.85,phase2_v3_scan,true,
facility_type,Facility Type,facilityType,title_case,0.70,phase2_file_scan,true,
facility_\1ype,Facility Type (Required),facilityType,title_case,0.85,phase2_v3_scan,true,
facility_\1ype,Facility Type Updated,facilityType,title_case,0.85,phase2_v3_scan,true,
facility_\1ype,Facility Type(s),facilityType,title_case,0.85,phase2_v3_scan,true,
facility_\1ype,Primary Facility Type,facilityType,title_case,0.85,phase2_v3_scan,true,
facility_\1ype,Secondary Facility Type,facilityType,title_case,0.85,phase2_v3_scan,true,
fellowship_from_date,FELLOWSHIP START DATE,fellowshipFromDate,upper_exact,0.95,learning_kb_correction,true,
fellowship_from_date,fellowship_start_date,fellowshipFromDate,underscore,0.93,phase2_file_scan,true,
fellowship_from_date,fellowship_start_date2,fellowshipFromDate,underscore,0.8,phase2_file_scan,true,
fellowship_from_date,fellowship_start_date3,fellowshipFromDate,underscore,0.8,phase2_file_scan,true,
fellowship_school_name,FELLOWSHIP INSTITUTION,fellowshipSchoolName,upper_exact,0.95,learning_kb_correction,true,
fellowship_school_name,Fellowship Hospital Name,fellowshipSchoolName,title_case,0.8,phase2_file_scan,true,
fellowship_school_name,Institution Name-Fellowship,fellowshipSchoolName,title_case,0.95,learning_kb_correction,true,
fellowship_specialty,Fellowship Specialty,fellowshipSpecialty,title_case,0.95,learning_kb_correction,true,
fellowship_specialty,Specialty 1,fellowshipSpecialty,title_case,0.8,mapping_export,true,
fellowship_specialty,Specialty 2,fellowshipSpecialty,title_case,0.8,mapping_export,true,
fellowship_specialty,Specialty 3,fellowshipSpecialty,title_case,0.8,mapping_export,true,
