target_field,entity_scope,business_definition,positive_cues,negative_cues,common_confusions,field_type,format,pattern,enum_values,system_required,active
udfNotes,practitioner,UDF field for notes,[udf];notes,,,string,,,,False,true
udfOrgNpi,practitioner,Org NPI of the practitioner,[udf];org;npi,,,string,,,,False,true
udfPlanNoPractitionerStatus,practitioner,UDF field for plan no practitioner status,[udf];plan;practitioner;status,,,string,,,,False,true
udfPractitionerContractEntityType,practitioner,Contract entity type of the practitioner,[udf];practitioner;contract;entity;type,,,string,,,,False,true
udfPractitionerDirectoryGrouping,practitioner,Practitioner directory grouping of the practitioner,[udf];practitioner;directory;grouping,,,string,,,,False,true
udfPractitionerEffectiveDate,practitioner,Effective date for the practitioner at location,[udf];practitioner;effective;date,,,string,,,,False,true
udfPractitionerRecordId,practitioner,Record id of the practitioner,[udf];record,,,string,,,,False,true
udfProviderDirectorySpecialty,practitioner,Provider directory specialty value,[udf];provider;directory;specialty,,,string,,,,False,true
udfProviderLinkedToMoreThanOneContract,practitioner,UDF field indicating if provider is linked to multiple contracts,[udf];provider;linked;more;than;one;contract,,,string,,,,False,true
udfRosterSourceFileID,practitioner,Roster source file id of the practitioner,[udf];roster;source;file,,,string,,,,False,true
udfStaffStatus,practitioner,Staff status of the practitioner,[udf];staff;status,,,string,,,,False,true
udfStateMaxPanel,practitioner,DC MA maximum panel for practitioner location,[udf];max;panel,,,string,,,,False,true
udfTooltipDescription,practitioner,UDF field for tooltip description,[udf];tooltip;description,,,string,,,,False,true
udfTooltipHeader,practitioner,UDF field for tooltip header,[udf];tooltip;header,,,string,,,,False,true
udfUSTHCreationDate,practitioner,USTH creation date of the practitioner,[udf];usth;creation;date,,,string,,,,False,true
udfUSTHModifiedDate,practitioner,Modified date of the practitioner,[udf];modified;date,,,string,,,,False,true
udfUSTHVersion,practitioner,USTH version of the practitioner,[udf];usth;version,,,string,,,,False,true
udfUSTHVersionDate,practitioner,USTH version date of the practitioner,[udf];usth;version;date,,,string,,,,False,true
udfVBCAttribution,practitioner,VBC attribution of the practitioner,[udf];vbc;attribution,,,string,,,,False,true
udfVendorProviderGroupName,practitioner,Zing provider group name of the practitioner,[udf];zing;provider;group;name,,,string,,,,False,true
udfVendorSupplierLinkId,practitioner,Zing supplier link id of the practitioner,[udf];zing;supplier;link,,,string,,,,False,true
udfVendorValueBasedGroupRef,practitioner,Zing provider value based group ref of the practitioner,[udf];zing;provider;value;based;group;ref,,,string,,,,False,true
xRayLicenseExpirationDate,practitioner,X-Ray License Expiration Date,x-ray;license;expiration;date;(yyyy-mm-dd),,,string,date,,,False,true
xRayLicenseNumber,practitioner,X-Ray License Number,x-ray;license;number,,,string,,,,False,true
